,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8773098244533415,0.8716842588343277,0.8414850256955521,0.8563184707632658,0.9295459581905785
Random Forest,0.9426008623344626,0.9404622717870312,0.9265461633882687,0.9334523543851819,0.9890741217243313
XGBoost,0.9649676624576532,0.973616943582253,0.9449760765550239,0.9590827338129496,0.9954886304676711
