Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8858024691358025,0.8823529411764706,0.8812260536398467,0.8817891373801917,0.9535545515440872
Naive Bayes,0.8580246913580247,0.822637106184364,0.9003831417624522,0.8597560975609756,0.9373240500418848
Linear SVM,0.8777777777777778,0.8936742934051144,0.8480204342273308,0.8702490170380078,0.9449502648118393
